name,birth_year,birth_date,birthplace,race_ethnicity,religion,sexual_orientation,year_edition,category,movie
Humphrey Bogart,1899,1899-12-25,New York City,White,,Straight,1952,Best Actor,The Africa Queen
Norman Taurog,1899,1899-02-23,"Chicago, Il",White,,Straight,1932,Best Director,Skippy
Charles Laughton,1899,1899-07-01,"Victoria Hotel, Scarborough, Yorkshire, England",White,Roman Catholic,Gay,1934,Best Actor,The Private Life of Henry VIII
James Cagney,1899,1899-07-17,"Manhattan, Ny",White,Roman Catholic,Straight,1943,Best Actor,Yankee Doodle Dandy
Katina Paxinou,1900,1900-12-17,"Athens, Greece",White,,Straight,1944,Best Supporting Actress,For Whom the Bell Tolls
Helen Hayes,1900,1900-10-10,"Washington, Dc",White,,Straight,1932,Best Actress,The Sin of Madelon Claudet
Helen Hayes,1900,1900-10-10,"Washington, Dc",White,,Straight,1971,Best Supporting Actress,Airport
Spencer Tracy,1900,1900-04-05,"Milwaukee, Wi",White,Roman Catholic,Straight,1938,Best Actor,Captains Courageous
Spencer Tracy,1900,1900-04-05,"Milwaukee, Wi",White,Roman Catholic,Straight,1939,Best Actor,Boys Town
Clark Gable,1901,1901-02-01,"Cadiz, Oh",White,,Straight,1935,Best Actor,It Happened One Night
James Dunn,1901,1901-11-02,New York City,White,,Straight,1946,Best Supporting Actor,A Tree Grows in Brooklyn
"Ed Begley, Sr.",1901,1901-03-25,"Hartford, Ct",White,,Straight,1963,Best Supporting Actor,Sweet Bird of Youth
Gary Cooper,1901,1901-05-07,"Helena, Mt",White,Roman Catholic,Straight,1953,Best Actor,High Noon
Gary Cooper,1901,1901-05-07,"Helena, Mt",White,Roman Catholic,Straight,1942,Best Actor,Sergeant York
Melvyn Douglas,1901,1901-04-05,"Macon, Ga",White,Jewish,Straight,1964,Best Supporting Actor,Hud
Melvyn Douglas,1901,1901-04-05,"Macon, Ga",White,Jewish,Straight,1980,Best Supporting Actor,Being There
John Houseman,1902,1902-09-22,"Bucharest, Romania",White,,Straight,1974,Best Supporting Actor,The Paper Chase
Norma Shearer,1902,1902-08-10,"Montreal, Quebec, Canada",White,,Straight,1930,Best Actress,The Divorcee
William Wyler,1902,1902-07-01,"Mulhouse, Haut-Rhin, Alsace, France",White,,Straight,1947,Best Director,The Best Years of Our Lives
William Wyler,1902,1902-07-01,"Mulhouse, Haut-Rhin, Alsace, France",White,,Straight,1960,Best Director,Ben-Hur
William Wyler,1902,1902-07-01,"Mulhouse, Haut-Rhin, Alsace, France",White,,Straight,1943,Best Director,Mrs. Miniver
Dean Jagger,1903,1903-11-07,"Lima, Oh",White,,Straight,1950,Best Supporting Actor,Twelve O'Clock High
Claudette Colbert,1903,1903-09-13,"Paris, France",White,,Straight,1935,Best Actress,It Happened One Night
Bing Crosby,1903,1903-05-03,"Tacoma, Wa",White,Roman Catholic,Straight,1945,Best Actor,Going My Way
Anne Revere,1903,1903-06-25,New York City,White,,Straight,1946,Best Supporting Actress,National Velvet
Vincente Minnelli,1903,1903-02-28,"Chicago, Il",White,,Bisexual,1959,Best Director,Gigi
Greer Garson,1904,1904-09-29,"London, England",White,,Straight,1942,Best Actress,Mrs. Miniver
John Gielgud,1904,1904-04-14,"London, England",White,,Gay,1982,Best Supporting Actor,Arthur
Don Ameche,1904,1904-05-31,"Kenosha, Wi",White,Roman Catholic,Straight,1986,Best Supporting Actor,Cocoon
George Stevens,1904,1904-12-18,"Oakland, Ca",White,,Straight,1952,Best Director,A Place in the Sun
George Stevens,1904,1904-12-18,"Oakland, Ca",White,,Straight,1957,Best Director,Giant
Henry Fonda,1905,1905-05-16,"Grand Island, Ne",White,,Straight,1982,Best Actor,On Golden Pond
Robert Donat,1905,1905-03-18,"Withington, Manchester, England",White,,Straight,1940,Best Actor,Goodbye Mr. Chips
Joan Crawford,1905,1905-03-23,"San Antonio, Tx",White,Christian Science,Bisexual,1946,Best Actress,Mildred Pierce
Janet Gaynor,1906,1906-10-06,"Philadelphia, Pa",White,,Straight,1929,Best Actress,7th Heaven
John Huston,1906,1906-08-05,"Nevada, Mo",White,,Straight,1949,Best Director,The Treasure of the Sierra Madre
George Sanders,1906,1906-07-03,"St. Petersburg, Russia",White,,Straight,1951,Best Supporting Actor,All About Eve
Carol Reed,1906,1906-12-30,"London, England",White,,Straight,1969,Best Director,Oliver!
Mary Astor,1906,1906-05-03,"Quincy, Il",White,Roman Catholic,Straight,1942,Best Supporting Actress,The Great Lie
Billy Wilder,1906,1906-06-22,"Sucha, Galicia, Austria",White,Jewish,Straight,1946,Best Director,The Lost Weekend
Billy Wilder,1906,1906-06-22,"Sucha, Galicia, Austria",White,Jewish,Straight,1961,Best Director,The Apartment
Ray Milland,1907,1907-01-03,"Neath, Wales",White,,Straight,1946,Best Actor,The Lost Weekend
Jack Albertson,1907,1907-06-16,"Malden, Ma",White,,Na,1969,Best Supporting Actor,The Subject Was Roses
Peggy Ashcroft,1907,1907-12-22,"Croydon, Surrey, England",White,Agnostic,Straight,1985,Best Supporting Actress,A Passage to India
John Wayne,1907,1907-05-26,"Winterset, Ia",White,Roman Catholic,Straight,1970,Best Actor,True Grit
Laurence Olivier,1907,1907-05-22,"Dorking, Surrey, England",White,,Bisexual,1949,Best Actor,Hamlet
Fred Zinnemann,1907,1907-04-29,"Vienna, Austria",White,Jewish,Straight,1967,Best Director,A Man for All Seasons
Fred Zinnemann,1907,1907-04-29,"Vienna, Austria",White,Jewish,Straight,1954,Best Director,From Here to Eternity
Katharine Hepburn,1907,1907-05-12,"Hartford, Ct",White,Atheist,Bisexual,1969,Best Actress,The Lion in Winter
Katharine Hepburn,1907,1907-05-12,"Hartford, Ct",White,Atheist,Bisexual,1982,Best Actress,On Golden Pond
Katharine Hepburn,1907,1907-05-12,"Hartford, Ct",White,Atheist,Bisexual,1968,Best Actress,Guess Who's Coming to Dinner
Katharine Hepburn,1907,1907-05-12,"Hartford, Ct",White,Atheist,Bisexual,1934,Best Actress,Morning Glory
Rex Harrison,1908,1908-03-05,"Huyton, Lancashire, England",White,,Straight,1965,Best Actor,My Fair Lady
Anna Magnani,1908,1908-03-07,"Rome, Italy",White,,Straight,1956,Best Actress,The Rose Tattoo
Jimmy Stewart,1908,1908-05-20,"Indiana, Pa",White,Presbyterian,Straight,1941,Best Actor,The Philadelphia Story
John Mills,1908,1908-02-22,"Felixstowe, Suffolk, England",White,,Straight,1971,Best Supporting Actor,Ryan's Daughter
David Lean,1908,1908-03-25,"Croydon, Surrey, England",White,,Straight,1963,Best Director,Lawrence of Arabia
David Lean,1908,1908-03-25,"Croydon, Surrey, England",White,,Straight,1958,Best Director,The Bridge on the River Kwai
Bette Davis,1908,1908-04-05,"Lowell, Ma",White,,Straight,1939,Best Actress,Jezebel
Bette Davis,1908,1908-04-05,"Lowell, Ma",White,,Straight,1936,Best Actress,Dangerous
David Niven,1909,1909-03-01,"London, England",White,,Straight,1959,Best Actor,Separate Tables
Jessica Tandy,1909,1909-06-07,"London, England",White,,Straight,1990,Best Actress,Driving Miss Daisy
Burl Ives,1909,1909-06-14,"Hunt City, Il",White,,Straight,1959,Best Supporting Actor,The Big Country
Jose Ferrer,1909,1909-01-08,"Santurce, Puerto Rico",Hispanic,,Straight,1951,Best Actor,Cyrano de Bergerac
Elia Kazan,1909,1909-09-07,"Istanbul, Turkey",White,,Straight,1955,Best Director,On the Waterfront
Elia Kazan,1909,1909-09-07,"Istanbul, Turkey",White,,Straight,1948,Best Director,Gentleman's Agreement
Joseph L. Mankiewicz,1909,1909-02-11,"Wilkes-Barre, Pa",White,Jewish,Straight,1950,Best Director,A Letter to Three Wives
Joseph L. Mankiewicz,1909,1909-02-11,"Wilkes-Barre, Pa",White,Jewish,Straight,1951,Best Director,All About Eve
Van Heflin,1910,1910-12-13,"Walters, Ok",White,,Straight,1943,Best Supporting Actor,Johnny Eager
Claire Trevor,1910,1910-03-08,New York City,White,,Straight,1949,Best Supporting Actress,Key Largo
Luise Rainer,1910,1910-01-12,"Dusseldorf, Germany",White,Jewish,Straight,1937,Best Actress,The Great Ziegfeld
Luise Rainer,1910,1910-01-12,"Dusseldorf, Germany",White,Jewish,Straight,1938,Best Actress,The Good Earth
Broderick Crawford,1911,1911-12-09,"Philadelphia, Pa",White,,Straight,1950,Best Actor,All The King's Men
Ginger Rogers,1911,1911-07-16,"Independence, Mo",White,Christian Science,Straight,1941,Best Actress,Kitty Foyle
Hugh Griffith,1912,1912-05-30,"Marian Glas, Anglesey, Wales",White,,Na,1960,Best Supporting Actor,Ben-Hur
Karl Malden,1912,1912-03-22,"Chicago, Il",White,,Straight,1952,Best Supporting Actor,A Streetcar Named Desire
Wendy Hiller,1912,1912-08-15,"Bramhall, Cheshire, England",White,,Straight,1959,Best Supporting Actress,Separate Tables
Gig Young,1913,1913-11-04,"St. Cloud, Mn",White,,Straight,1970,Best Supporting Actor,"They Shoot Horses, Don't They?"
Burt Lancaster,1913,1913-11-02,New York City,White,Protestant,Straight,1961,Best Actor,Elmer Gantry
Loretta Young,1913,1913-01-06,"Salt Lake City, Ut",White,Roman Catholic,Straight,1948,Best Actress,The Farmer's Daughter
Vivien Leigh,1913,1913-11-05,"Darjeeling, India",White,Roman Catholic,Straight,1952,Best Actress,A Streetcar Named Desire
Vivien Leigh,1913,1913-11-05,"Darjeeling, India",White,Roman Catholic,Straight,1940,Best Actress,Gone with the Wind
Harold Russell,1914,1914-01-14,"North Sydney, Nova Scotia, Canada",White,,Straight,1947,Best Supporting Actor,The Best Years of Our Lives
Beatrice Straight,1914,1914-08-02,"Old Westbury, Ny",White,,Straight,1977,Best Supporting Actress,Network
Alec Guinness,1914,1914-04-02,"London, England",White,Roman Catholic,Bisexual,1958,Best Actor,The Bridge on the River Kwai
Jo Van Fleet,1914,1914-12-30,"Oakland, Ca",White,,Straight,1956,Best Supporting Actress,East of Eden
Robert Wise,1914,1914-09-10,"Winchester, In",White,,Straight,1966,Best Director,The Sound of Music
Robert Wise,1914,1914-09-10,"Winchester, In",White,,Straight,1961,Best Director,West Side Story
Frank Sinatra,1915,1915-12-12,"Hoboken, Nj",White,,Straight,1954,Best Supporting Actor,From Here to Eternity
Edmond O'Brien,1915,1915-09-10,New York City,White,Roman Catholic,Straight,1955,Best Supporting Actor,The Barefoot Contessa
Anthony Quinn,1915,1915-04-21,"Chihuahua, Mexico",Hispanic,,Straight,1957,Best Supporting Actor,Lust for Life
Anthony Quinn,1915,1915-04-21,"Chihuahua, Mexico",Hispanic,,Straight,1953,Best Supporting Actor,Viva Zapata!
Ingrid Bergman,1915,1915-08-29,"Stockholm, Sweden",White,,Straight,1975,Best Supporting Actress,Murder on the Orient Express
Ingrid Bergman,1915,1915-08-29,"Stockholm, Sweden",White,,Straight,1957,Best Actress,Anastasia
Ingrid Bergman,1915,1915-08-29,"Stockholm, Sweden",White,,Straight,1945,Best Actress,Gaslight
Gregory Peck,1916,1916-04-05,"La Jolla, Ca",White,Roman Catholic,Straight,1963,Best Actor,To Kill a Mockingbird
Mercedes McCambridge,1916,1916-03-17,"Joliet, Il",White,Roman Catholic,Straight,1950,Best Supporting Actress,All the King's Men
Peter Finch,1916,1916-09-28,"South Kensington, London, England",White,,Straight,1977,Best Actor,Network
Olivia de Havilland,1916,1916-07-01,"Tokyo, Japan",White,,Straight,1947,Best Actress,To Each His Own
Olivia de Havilland,1916,1916-07-01,"Tokyo, Japan",White,,Straight,1950,Best Actress,The Heiress
Jane Wyman,1917,1917-01-05,"St. Joseph, Mo",White,Roman Catholic,Straight,1949,Best Actress,Johnny Belinda
Celeste Holm,1917,1917-04-29,New York City,White,,Straight,1948,Best Supporting Actress,Gentleman's Agreement
Ernest Borgnine,1917,1917-01-24,"Hamden, Ct",White,,Straight,1956,Best Actor,Marty
Joan Fontaine,1917,1917-10-22,"Tokyo, Japan",White,,Straight,1940,Best Actress,Suspicion
Art Carney,1918,1918-11-04,"Mount Vernon, Ny",White,,Straight,1975,Best Actor,Harry and Tonto
Jerome Robbins,1918,1918-10-11,New York City,White,Jewish,Gay,1962,Best Director,West Side Story
Ben Johnson,1918,1918-06-13,"Shidler, Ok",White,,Straight,1972,Best Supporting Actor,The Last Picture Show
Teresa Wright,1918,1918-10-27,New York City,White,,Straight,1943,Best Supporting Actress,Mrs. Miniver
Susan Hayward,1918,1918-06-30,"Brooklyn, Ny",White,Roman Catholic,Straight,1959,Best Actress,I Want To Live!
Lila Kedrova,1918,1918-10-09,"St. Petersburg, Russia",White,,Straight,1965,Best Supporting Actress,Zorba the Greek
William Holden,1918,1918-04-17,"O'fallon, Il",White,,Straight,1954,Best Actor,Stalag 17
Red Buttons,1919,1919-02-05,New York City,White,Jewish,Straight,1958,Best Supporting Actor,Sayonara
Jack Palance,1919,1919-02-18,"Lattimer Mines, Pa",White,,Straight,1992,Best Supporting Actor,City Slickers
Eileen Heckart,1919,1919-03-29,"Columbus, Oh",White,,Straight,1973,Best Supporting Actress,Butterflies Are Free
Martin Balsam,1919,1919-11-04,"Bronx, Ny",White,,Straight,1966,Best Supporting Actor,A Thousand Clowns
Jennifer Jones,1919,1919-03-02,"Tulsa, Ok",White,Roman Catholic,Straight,1944,Best Actress,The Song of Bernadette
Yul Brynner,1920,1920-07-11,"Vladivostok, Russia",White,,Straight,1957,Best Actor,The King and I
Franklin J. Schaffner,1920,1920-05-30,"Tokyo, Japan",White,,Straight,1970,Best Director,Patton
Delbert Mann,1920,1920-01-30,"Lawrence, Ks",White,Presbyterian,Straight,1956,Best Director,Marty
Walter Matthau,1920,1920-10-01,New York City,White,Jewish,Straight,1967,Best Supporting Actor,The Fortune Cookie
Shelley Winters,1920,1920-08-18,"St. Louis, Mo",White,Jewish,Straight,1960,Best Supporting Actress,The Diary of Anne Frank
Shelley Winters,1920,1920-08-18,"St. Louis, Mo",White,Jewish,Straight,1966,Best Supporting Actress,A Patch of Blue
Judy Holliday,1921,1921-06-21,New York City,White,,Straight,1951,Best Actress,Born Yesterday
George Roy Hill,1921,1921-12-20,"Minneapolis, Mn",White,,Straight,1973,Best Director,The Sting
Simone Signoret,1921,1921-03-25,"Wiesbaden, Germany",White,,Straight,1960,Best Actress,Room at the Top
Donna Reed,1921,1921-01-27,"Denison, Ia",White,,Straight,1954,Best Supporting Actress,From Here to Eternity
Peter Ustinov,1921,1921-04-16,"London, England",White,,Straight,1961,Best Supporting Actor,Spartacus
Peter Ustinov,1921,1921-04-16,"London, England",White,,Straight,1965,Best Supporting Actor,Topkapi
Paul Scofield,1922,1922-01-21,"Hurstpierpoint, West Sussex, England",White,,Straight,1967,Best Actor,A Man For All Seasons
Kim Hunter,1922,1922-11-12,"Detroit, Mi",White,,Straight,1952,Best Supporting Actress,A Streetcar Named Desire
Jason Robards,1922,1922-07-26,"Chicago, Il",White,,Straight,1978,Best Supporting Actor,Julia
Jason Robards,1922,1922-07-26,"Chicago, Il",White,,Straight,1977,Best Supporting Actor,All the President's Men
Richard Attenborough,1923,1923-08-29,"Cambridge, England",White,,Straight,1982,Best Director,Gandhi
Charlton Heston,1923,1923-10-04,"Evanston, Il",White,Protestant,Straight,1960,Best Actor,Ben-hur
Gloria Grahame,1923,1923-11-28,"Los Angeles, Ca",White,,Straight,1953,Best Supporting Actress,The Bad and the Beautiful
Anne Baxter,1923,1923-05-07,"Michigan City, In",White,,Straight,1947,Best Supporting Actress,The Razor's Edge
Cliff Robertson,1923,1923-09-09,"La Jolla, Ca",White,,Straight,1969,Best Actor,Charly
Geraldine Page,1924,1924-11-22,"Kirksville, Mo",White,,Straight,1986,Best Actress,The Trip to Bountiful
Eva Marie Saint,1924,1924-07-04,"Newark, Nj",White,,Straight,1955,Best Supporting Actress,On the Waterfront
Lee Marvin,1924,1924-02-19,New York City,White,,Straight,1966,Best Actor,Cat Ballou
Marlon Brando,1924,1924-04-03,"Omaha, Ne",White,Deist,Bisexual,1973,Best Actor,The Godfather
Marlon Brando,1924,1924-04-03,"Omaha, Ne",White,Deist,Bisexual,1955,Best Actor,On the Waterfront
Paul Newman,1925,1925-01-26,"Shaker Heights, Oh",White,Jewish,Straight,1987,Best Actor,The Color of Money
Dorothy Malone,1925,1925-01-30,"Chicago, Il",White,,Straight,1957,Best Supporting Actress,Written on the Wind
Maureen Stapleton,1925,1925-06-21,"Troy, Ny",White,Roman Catholic,Straight,1982,Best Supporting Actress,Reds
Rod Steiger,1925,1925-04-14,"Westhampton, Ny",White,Lutheran,Straight,1968,Best Actor,In the Heat of the Night
George Kennedy,1925,1925-02-18,New York City,White,,Straight,1968,Best Supporting Actor,Cool Hand Luke
Jack Lemmon,1925,1925-02-08,"Newton, Ma",White,Roman Catholic,Straight,1974,Best Actor,Save the Tiger
Jack Lemmon,1925,1925-02-08,"Newton, Ma",White,Roman Catholic,Straight,1956,Best Supporting Actor,Mister Roberts
Cloris Leachman,1926,1926-04-30,"Des Moines, Ia",White,,Straight,1972,Best Supporting Actress,The Last Picture Show
Patricia Neal,1926,1926-01-20,"Packard, Ky",White,Roman Catholic,Straight,1964,Best Actress,Hud
John Schlesinger,1926,1926-02-16,"London, England",White,,Gay,1969,Best Director,Midnight Cowboy
Estelle Parsons,1927,1927-11-20,"Marblehead, Ma",White,,Straight,1968,Best Supporting Actress,Bonnie and Clyde
Sidney Poitier,1927,1927-02-20,"Miami, Fl",Black,Deist,Straight,1964,Best Actor,Lilies of the Field
Bob Fosse,1927,1927-06-23,"Chicago, Il",White,,Straight,1973,Best Director,Cabaret
Lee Grant,1927,1927-10-31,New York City,White,Jewish,Straight,1976,Best Supporting Actress,Shampoo
George C. Scott,1927,1927-10-18,"Wise, Va",White,,Straight,1971,Best Actor,Patton
James Coburn,1928,1928-08-31,"Laurel, Ne",White,,Straight,1999,Best Supporting Actor,Affliction
Tony Richardson,1928,1928-06-05,"Shipley, Yorkshire, England",White,,Bisexual,1964,Best Director,Tom Jones
Grace Kelly,1929,1929-11-12,"Philadelphia, Pa",White,Roman Catholic,Straight,1955,Best Actress,The Country Girl
Audrey Hepburn,1929,1929-05-04,"Brussels, Belgium",White,Christian Science,Straight,1954,Best Actress,Roman Holiday
Miyoshi Umeki,1929,1929-04-03,"Otaro, Hokkaido, Japan",Asian,,Straight,1958,Best Supporting Actress,Sayonara
Christopher Plummer,1929,1929-12-13,"Toronto, Ontario, Canada",White,,Straight,2012,Best Supporting Actor,Beginning
Sean Connery,1930,1930-08-25,"Edinburgh, Scotland",White,Roman Catholic,Straight,1988,Best Supporting Actor,The Untouchables
Maximilian Schell,1930,1930-12-08,"Vienna, Austria",White,,Straight,1962,Best Actor,Judgement at Nuremberg
Joanne Woodward,1930,1930-02-27,"Thomasville, Ga",White,,Straight,1958,Best Actress,The Three Faces of Eve
Gene Hackman,1930,1930-01-30,"San Bernardino, Ca",White,,Straight,1972,Best Actor,The French Connection
Gene Hackman,1930,1930-01-30,"San Bernardino, Ca",White,,Straight,1993,Best Supporting Actor,Unforgiven
Clint Eastwood,1930,1930-05-31,"San Francisco, Ca",White,,Straight,2005,Best Director,Million Dollar Baby
Clint Eastwood,1930,1930-05-31,"San Francisco, Ca",White,,Straight,1993,Best Director,Unforgiven
Mike Nichols,1931,1931-11-06,"Berlin, Germany",White,Jewish,Straight,1968,Best Director,The Graduate
Olympia Dukakis,1931,1931-06-20,"Lowell, Ma",White,,Straight,1988,Best Supporting Actress,Moonstruck
Anne Bancroft,1931,1931-09-17,"Bronx, Ny",White,Roman Catholic,Straight,1963,Best Actress,The Miracle Worker
Robert Duvall,1931,1931-01-05,"San Diego, Ca",White,,Straight,1984,Best Actor,Tender Mercies
Rita Moreno,1931,1931-12-11,"Humacao, Puerto Rico",Hispanic,,Straight,1962,Best Supporting Actress,West Side Story
Martin Landau,1931,1931-06-20,"Brooklyn, Ny",White,Jewish,Straight,1995,Best Supporting Actor,Ed Wood
Ellen Burstyn,1932,1932-12-07,"Detroit, Mi",White,Sufism,Straight,1975,Best Actress,Alice Doesn't Live Here Anymore
Robert Benton,1932,1932-09-29,"Waxahachie, Tx",White,,Straight,1980,Best Director,Kramer vs. Kramer
Joel Grey,1932,1932-04-11,"Cleveland, Oh",White,Jewish,Gay,1973,Best Supporting Actor,Cabaret
Milos Forman,1932,1932-02-18,"CÌÁslav, Czechoslovakia",White,,Straight,1976,Best Director,One Flew over the Cuckoo's Nest
Milos Forman,1932,1932-02-18,"CÌÁslav, Czechoslovakia",White,,Straight,1985,Best Director,Amadeus
Elizabeth Taylor,1932,1932-02-27,"London, England",White,Jewish,Straight,1961,Best Actress,Butterfield 8
Elizabeth Taylor,1932,1932-02-27,"London, England",White,Jewish,Straight,1967,Best Actress,Who's Afraid of Virginia Woolf?
Roman Polanski,1933,1933-08-18,"Paris, France",White,See Note,Straight,2003,Best Director,The Pianist
Michael Caine,1933,1933-03-14,"Bermondsey, England",White,,Straight,2000,Best Supporting Actor,The Cider House Rules
Michael Caine,1933,1933-03-14,"Bermondsey, England",White,,Straight,1987,Best Supporting Actor,Hannah and Her Sisters
Sydney Pollack,1934,1934-07-01,"Lafayette, In",White,Jewish,Straight,1986,Best Director,Out of Africa
Sophia Loren,1934,1934-09-20,"Pozzuoli, Italy",White,Roman Catholic,Straight,1962,Best Actress,Two Women
Alan Arkin,1934,1934-03-26,"Brooklyn, Ny",White,Jewish,Straight,2007,Best Supporting Actor,Little Miss Sunshine
Shirley Jones,1934,1934-03-31,"Charleroi, Pa",White,Methodist,Straight,1961,Best Supporting Actress,Elmer Gantry
Louise Fletcher,1934,1934-07-22,"Birmingham, Al",White,,Straight,1976,Best Actress,One Flew Over the Cuckoo's Nest
Judi Dench,1934,1934-12-09,"York, North Yorkshire, England",White,Quaker,Straight,1999,Best Supporting Actress,Shakespeare in Love
George Chakiris,1934,1934-09-16,"Norwood, Oh",White,,Gay,1962,Best Supporting Actor,West Side Story
Shirley MacLaine,1934,1934-04-24,"Richmond, Va",White,Baptist,Straight,1984,Best Actress,Terms of Endearment
